page,rank,product_name,price,listed_at,country,shop,shop_total_sales,category,commission,sales_period,sales_growth,gmv_period,total_sales,total_gmv
1,,Elegant Silver Snake Chain Necklace – Timeless Style for Every Occasion Summervibes,$9.49,,美国,SunnySide Studio,37.28万,项链,11%,1.86万,-5.06%,$19.58万,10.32万,$115.82万
1,,Anxiety Rings for Women and Men Titanium Steel Spinner Fidget Band Rings with Cubic Zirconia for Stress Relief and Wedding Promise Comfort Fit Size 5 to 12,$9.30,,美国,Senpeo,13.04万,戒指,10%,1.70万,135.27%,$17.85万,6.96万,$73.10万
1,,"Fashion Geometric Double-Beam Sunglasses - 2026 Fall/Summer Trend, High-Quality Lightweight Durable Metal-Framed Sunglasses, Funky Fashionable Frames Men's Accessory, Boyfriend Birthday Gift, Gifts for Boyfriend, Lightweight Durable Sunglasses, High Quali",$13.00 - 33.00,,美国,Zen Zest,19.57万,镜框与镜片,10%,1.30万,-29.94%,$18.35万,16.12万,$211.50万
1,4,〖Summer Vibes〗3 PCS Retro Oval Sunglasses for Women Chic Cat Eye 90s Sunnies Lightweight Narrow Shades Trendy UV Protection Sunglasses Vintage Rich Girl Sunglasses Women Sunglasseswomen,$11.90,,美国,TS Fashion Boutique,10.70万,太阳镜,15%,1.25万,15.29%,$16.89万,6.26万,$84.41万
1,5,"Kimorn Fashion Glasses for Women, High Quality Lightweight Square Frames with Blue Light Blocking & UV400 Protection, Gifts for Women, High Quality Eyewear, Accessories For Women",$17.00 - 24.00,,美国,AE Glasses,14.02万,镜框与镜片,15%,1.12万,97.59%,$17.20万,4.25万,$58.74万
1,6,"Women's Elegant Chic Geometric Print Robe Set, Casual Fitted Long Dress & Scarf, Beach Resort Wear Sun Protection Satin Matching Set Shawl",$8.60 - 8.80,,美国,kkher,9.91万,围巾&围脖,8%,1.03万,7622.39%,$8.91万,3.03万,$34.63万
1,7,Summervibes Dreamlover Brown Black Wig Grip Band 2pcs for Women Adjustable Headband for Keeping Wigs in Place Non Slip Comfortable Breathable Hair Styling Tool,$10.00,,美国,Dreamlover Online,11.71万,接发与假发配件,10%,1.03万,2141.52%,$13.07万,4.97万,$58.88万
1,8,FREEKISS Chunky Cuban Link Chain Anklet for Women Waterproof Anklet Adjustable Length 8.5+2 Inch Fashion Chic Accessories Stackable Anklet Trendy Layered Anklet Set Jewelry Gift Suitable for Summer Beach Vacations backtoschool,$10.99 - 12.99,,美国,FREEKISS OFFICIAL,12.18万,脚链,13%,9824,-36.59%,$12.94万,7.44万,$98.99万
1,9,"Women's Fashion Floral Print Shawl, Breathable Beach Cover-Up, Geometric Pattern, All-Season Fitted Wrap, Summer Essential",$5.60,,美国,kkher,9.91万,围巾&围脖,8%,9211,42.98%,$5.89万,2.09万,$14.43万
1,10,"EUNOIALENS Rimless High Quality Eyewear, Frameless Glasses with Diamond-Cut Edges, Stainless Steel Fashion Temple Decor, Unisex Adults' Accessories for Daily Use, Mens Gifts. summerwins,summerwins, Father's Day Gifts,summer outifit,travel essentials",$10.90 - 12.90,,美国,DS high quality goods,34.84万,镜框与镜片,15%,9091,48.86%,$10.92万,9.34万,$119.16万
2,11,"【FitOver Sunglasses】1/2Pcs Women's Fit Over Prescription Sunglasses - Oversized Square Full-Rim Plastic Frames Mirrored Polarized , UV400 Protection, Trendy Sunglasses, Unisex Fashion Accessory for Summer Wins, Accessories for Women The Choice of Gifts",$9.20,,美国,Huixin Fashion,4.49万,太阳镜,17%,8643,-11.97%,$9.19万,2.78万,$32.91万
